level,rank_name
0,Unranked Wotsit
1,Noober
2,Poo Noober
3,Ultra Poo Noob
4,Mega Ultra Poo Noob
5,Freshly Spawned Fresher
6,Damp Fresher
7,Confused Fresher
8,Baby Bin Rat
9,Tactical Bin Rat
10,Starter
11,Friendly Starter
12,Starter With L-Plates
13,Casual Keyboard Licker
14,Spicy Keyboard Licker
15,Premium Keyboard Licker
16,Tiny Wet Wipe
17,Certified Wet Wipe
18,Baby Button Goblin
19,Button Goblin With Sauce
20,Rookie
21,Rookie Mistake
22,Rookie With Beef
23,Suspicious Rookie
24,Scrublet
25,Cheeky Scrub
26,Poundland Scrub
27,Casual Mouse Abuser
28,Angry Mouse Abuser
29,Mouse Abuser Supreme
30,Gremlin
31,Desk Gremlin
32,Feral Gremlin
33,Baby Sock Goblin
34,Sweaty Sock Goblin
35,Sock Goblin With Wi-Fi
36,Tiny Loot Rat
37,Greedy Loot Rat
38,Certified Loot Rat
39,Loot Rat Supreme
40,Menace
41,Local Menace
42,Public Menace
43,Menace With Benefits
44,Absolute Menace
45,Baby XP Goblin
46,Hungry XP Goblin
47,Dangerous XP Goblin
48,Budget Lobby Clown
49,Premium Lobby Clown
50,Tryhard
51,Baby Tryhard
52,Sweaty Tryhard
53,Tryhard With No Shame
54,Ranked Rat
55,Sewer Ranked Rat
56,Tactical Ranked Rat
57,Rat With Strats
58,Baby Voice Chat Villain
59,Muted Voice Chat Villain
60,Certified Weapon
61,Budget Certified Weapon
62,Dangerous Certified Weapon
63,Slightly Illegal Certified Weapon
64,Baby Chaos Muppet
65,Unhinged Chaos Muppet
66,Chaos Muppet Deluxe
67,Tiny Pub Goblin
68,Pint-Sized Pub Goblin
69,Suspicious Pub Goblin
70,Lobby Demon
71,Baby Lobby Demon
72,Sweaty Lobby Demon
73,Final Queue Lobby Demon
74,Main Character
75,Main Character Syndrome
76,Plot Armour Merchant
77,Kebab Champion
78,Spicy Kebab Champion
79,Kebab Champion Supreme
80,Absolute Nuisance
81,Nuisance Deluxe
82,Walking Complaint Form
83,HR Complaint Pending
84,Patch Note Problem
85,Walking Patch Note Problem
86,Balance Team Nightmare
87,Queue Gremlin
88,Dodgy Queue Gremlin
89,Queue Gremlin Supreme
90,Diamond Tryhard
91,Ranked Menace
92,Sweat Merchant
93,Clutch Gremlin
94,Tactical Bastard
95,Lobby Specialist
96,Voice Chat Villain
97,Damage Dealer
98,Certified Weapon Prime
99,Final Form Tryhard
100,Grev.dad Veteran
101,Site Grinder
102,Keyboard Warlord
103,Mousepad Menace
104,Ping Wizard
105,XP Hoarder
106,Lobby Bully
107,Tactical Nuisance
108,Headset Goblin
109,Absolute Problem
110,Grev.dad Elite
111,XP Addict
112,Button Gobfather
113,Ranked Demon
114,Controller Shaman
115,Matchmaking Menace
116,Public Lobby Terror
117,Slightly Illegal Aim
118,No-Life Apprentice
119,Certified Bellend
120,Grev.dad Master
121,Digital Bastard
122,Sweat Goblin Supreme
123,Premium Pain In The Arse
124,Queue Dodger Deluxe
125,XP Baron
126,Lobby Tax Collector
127,Keyboard Crime Lord
128,Aim Goblin Prime
129,Absolute Weapon
130,Grev.dad Champion
131,Patch Note Problem Deluxe
132,Balance Team Nightmare
133,Meta Abuser
134,Toxic But Talented
135,Built Different-ish
136,K/D Accountant
137,Sweatshop Supervisor
138,Lobby Final Boss
139,Digital Menace
140,Grev.dad Legend
141,Prestige Goblin
142,Elite Menace
143,Rank Hoarder
144,XP Gobfather
145,Keyboard Overlord
146,Mouse Click Maniac
147,Certified Tryhard Legend
148,Public Match Villain
149,Matchmaking Mistake
150,Grev.dad Icon
151,Icon With Sauce
152,Premium Icon
153,Bellend Supreme
154,Lobby Destroyer
155,The XP Creature
156,Unemployed Grind Lord
157,Prestige Menace
158,Digital Goblin King
159,Final Boss Intern
160,Grev.dad Myth
161,Myth With Sauce
162,Public Lobby Myth
163,XP Baron Supreme
164,Digital Menace Lord
165,Prestige Bastard
166,Ranked Gobfather
167,Keyboard Tyrant
168,Controller Crime Scene
169,Matchmaking Demon
170,Grev.dad Immortal
171,Immortal Bellend
172,Immortal Sweat Lord
173,XP Cryptid
174,Grind Goblin King
175,Sweaty Mythical Creature
176,Queue System Abuser
177,Premium Digital Problem
178,Absolute Site Menace
179,Prestige Weapon
180,Grev.dad Final Boss
181,Final Boss With Sauce
182,Final Boss Supreme
183,XP Singularity
184,Matchmaking Horror Story
185,Final Queue Demon
186,Certified Digital Overlord
187,Account Level Addict
188,The Unbalanced One
189,Balance Breaker
190,Grev.dad God Mode
191,God Mode Goblin
192,Immortal Site Bastard
193,XP Black Hole
194,Lobby Extinction Event
195,Matchmaking Apocalypse
196,Prestige Overlord
197,Account Level Tyrant
198,The Server Shaker
199,Grev.dad World Ender
200,Grev.dad Deity
